Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion
13,1,4,8,4,4,0.606060606
13,1,3,8,4,3,0.332225914
13,1,2,4,1,1,0.136950904
13,1,4,2,4,2,0.311258278
13,1,1,6,1,1,0.170347003
13,1,3,3,4,2,0.332369942
13,1,2,2,3,3,0.223744292
13,1,3,3,3,1,0.485049834
13,1,4,4,4,3,0.205980066
13,1,1,2,2,2,0.61461794
13,1,3,2,1,2,0.205980066
13,1,1,2,4,3,0.35443038
14,1,3,3,3,3,0.445512821
14,1,1,2,3,5,0.489626556
14,1,3,3,4,4,0.519480519
14,1,2,3,3,3,0.3556231
14,1,1,2,4,5,0.536340852
14,1,3,2,1,4,0.741176471
14,1,1,6,4,3,0.613207547
14,1,2,4,1,1,0.595307918
14,1,1,6,3,4,0.57807309
14,1,2,2,3,5,0.392971246
14,1,1,8,3,4,0.294478528
14,1,4,3,4,3,0.445747801
14,1,2,8,2,2,0.604651163
14,1,3,6,4,4,0.418604651
14,1,4,4,3,5,0.290237467
14,1,2,6,2,2,0.471760797
14,1,4,4,1,1,0.45398773
14,1,1,6,1,1,0.390163934
14,1,3,6,1,1,0.559210526
14,1,4,6,3,4,0.405315615
14,1,3,8,2,3,0.351851852
14,1,2,3,1,1,0.359735974
14,1,3,4,4,4,0.265822785
14,1,4,4,2,2,0.485530547
14,1,2,2,2,5,0.434782609
14,1,4,1,0,5,0.29844098
14,1,3,8,4,5,0.240121581
14,1,4,4,4,4,0.239884393
14,1,3,3,2,2,0.394495413
14,1,2,8,3,3,0.462006079
14,1,3,4,1,2,0.568106312
14,1,2,2,4,5,0.649164678
14,1,1,2,2,3,0.657534247
14,1,2,4,2,2,0.586956522
14,1,3,1,0,4,0.356020942
14,1,2,6,1,1,0.401759531
14,1,4,8,4,5,0.657142857
14,1,3,6,2,3,0.265243902
14,1,4,2,4,3,0.601226994
14,1,1,3,3,3,0.750830565
14,1,2,4,4,5,0.620418848
14,1,1,6,2,3,0.59947644
14,1,2,3,2,2,0.468553459
14,1,4,3,1,1,0.374213836
14,1,1,2,1,3,0.80495356
14,1,4,8,2,3,0.733118971
14,1,1,4,3,3,0.603960396
14,1,4,6,2,3,0.338797814
14,1,3,8,1,2,0.603225806
14,1,1,3,2,2,0.482084691
14,1,4,8,3,5,0.822629969
14,1,1,1,0,5,0.472463768
14,1,2,1,0,5,0.51147541
